"","EB","n","type","N","mean.utilization","sd","se","ci"
"55","1",42,"Empiric",10,0.16490484047619,0.00467642499774321,0.00147881542998163,0.00334531291738945
"56","1",42,"Gamma",10,0.16500630952381,0.00362731446951749,0.00114705755133607,0.00259482445589666
"57","1",42,"Negexp",10,0.164937114285714,0.00343489674985094,0.00108620972570386,0.00245717711130206
"58","1",44,"Empiric",10,0.157265734090909,0.0034282432338532,0.00108410569920374,0.00245241747268409
"59","1",44,"Gamma",10,0.1588918,0.00376209539648388,0.00118967902277233,0.00269124092279519
"60","1",44,"Negexp",10,0.156870802272727,0.0040725818682621,0.0012878634661212,0.00291334956459221
"61","1",46,"Empiric",10,0.151331358695652,0.00424958459971532,0.00134383664446753,0.00303996969091294
"62","1",46,"Gamma",10,0.150939408695652,0.00556821212321211,0.00176082328043124,0.00398325899624936
"63","1",46,"Negexp",10,0.151374123913043,0.00178211800416403,0.000563555195235176,0.00127485042153339
"64","1",48,"Empiric",10,0.144151341666667,0.00327308102027399,0.00103503909903336,0.0023414211116545
"65","1",48,"Gamma",10,0.14399926875,0.001807348001749,0.000571533621008082,0.00129289887454343
"66","1",48,"Negexp",10,0.144336491666667,0.00323992665980547,0.00102455476968868,0.00231770391093031
"67","1",50,"Empiric",10,0.139984344,0.00165498956102247,0.000523353651663322,0.00118390821178678
"68","1",50,"Gamma",10,0.138123232,0.00426530610267644,0.00134880822022736,0.00305121617662841
"69","1",50,"Negexp",10,0.138225442,0.00239247691030679,0.000756567628593182,0.00171147488016332
"83","2",14,"Gamma",10,0.982003357142857,0.0111556640875698,0.00352773073284645,0.00798028134573197
"85","2",16,"Empiric",10,0.86082115625,0.0185479479909422,0.00586537615737215,0.0132684026869052
"86","2",16,"Gamma",10,0.86771005,0.027179594603851,0.00859494248281911,0.0194431107013478
"87","2",16,"Negexp",10,0.863275475,0.0226428016982403,0.0071602825973968,0.0161976845653605
"88","2",18,"Empiric",10,0.765000388888889,0.0190682081336804,0.00602989686005785,0.0136405743729143
"89","2",18,"Gamma",10,0.767600522222222,0.0181108519299261,0.00572715424646228,0.0129557230010848
"90","2",18,"Negexp",10,0.760019266666667,0.00982793311107695,0.00310786533227877,0.00703047982242665
"91","2",20,"Empiric",10,0.687532825,0.0122627023568364,0.0038778069716318,0.00877220881682569
"92","2",20,"Gamma",10,0.69108071,0.0178510544528234,0.00564499907066128,0.0127698750816856
"93","2",20,"Negexp",10,0.696262015,0.0155383325799823,0.00491365219939444,0.0111154535183593
"94","2",22,"Empiric",10,0.634768654545455,0.019423946248288,0.00614239112932726,0.0138950540899158
"95","2",22,"Gamma",10,0.629366195454545,0.0229248567458801,0.0072494762350057,0.0163994545915535
"96","2",22,"Negexp",10,0.63009005,0.00631412395297993,0.00199670131200425,0.00451685217491898
"97","2",24,"Empiric",10,0.5793100875,0.00957905894006591,0.00302916440916066,0.00685244596547619
"98","2",24,"Gamma",10,0.580888904166667,0.011630847629832,0.003677996962864,0.00832020717429283
"99","2",24,"Negexp",10,0.570589370833333,0.0108530303640737,0.00343202954654395,0.00776379022164947
"100","2",26,"Empiric",10,0.533309711538462,0.017347676520593,0.00548581699168987,0.0124097802015513
"101","2",26,"Gamma",10,0.5325974,0.00637619830632779,0.00201633094609038,0.00456125749227004
"102","2",26,"Negexp",10,0.533519207692308,0.00579842619262969,0.0018336233613088,0.00414794422065883
"103","2",28,"Empiric",10,0.490583353571429,0.0113792359932881,0.0035984303771359,0.00814021505246862
"104","2",28,"Gamma",10,0.492973482142857,0.0142368139924323,0.00450207588402413,0.0101844032085062
"105","2",28,"Negexp",10,0.492358046428571,0.00964029068038018,0.00304852758560957,0.0068962485137746
"106","2",30,"Empiric",10,0.462561916666667,0.00827755660223905,0.00261759323240398,0.00592140727997478
"107","2",30,"Gamma",10,0.45925559,0.00918130689114546,0.00290338416730193,0.00656791129041696
"108","2",30,"Negexp",10,0.465752576666667,0.0120738940143657,0.00381810053128693,0.00863714346513437
"109","2",32,"Empiric",10,0.431431534375,0.0134287774198007,0.00424655228380093,0.00960636866599735
"110","2",32,"Gamma",10,0.434668809375,0.00696923410026706,0.00220386533037582,0.00498548974295229
"111","2",32,"Negexp",10,0.43397176875,0.00914570017440792,0.00289212433481282,0.00654243977969982
"112","2",34,"Empiric",10,0.404709620588235,0.00648456192642444,0.00205059853159104,0.00463877615626216
"113","2",34,"Gamma",10,0.404746423529412,0.00802106037225907,0.00253648200260567,0.00573792093050316
"114","2",34,"Negexp",10,0.404486367647059,0.00684261197317138,0.00216382389799605,0.0048949097298857
"115","2",36,"Empiric",10,0.385489819444444,0.00702891208429098,0.00222273716594409,0.00502818080095821
"116","2",36,"Gamma",10,0.381674555555556,0.00943253418753805,0.00298282921400261,0.00674762847185973
"117","2",36,"Negexp",10,0.382298127777778,0.0076632666580665,0.00242333769567169,0.00548197072614261
"118","2",38,"Empiric",10,0.362960042105263,0.00677699642427653,0.00214307443955307,0.00484797119384472
"119","2",38,"Gamma",10,0.364113113157895,0.00903327002223226,0.00285657079895738,0.00646201209390162
"120","2",38,"Negexp",10,0.36597915,0.00526519093728236,0.0016649995677489,0.00376649069823909
"121","2",40,"Empiric",10,0.3455841625,0.00689838885985998,0.00218146209826896,0.00493481011097194
"122","2",40,"Gamma",10,0.3452267375,0.00720729270237263,0.00227914607030075,0.00515578660799423
"123","2",40,"Negexp",10,0.34580147,0.00725696538181689,0.00229485395075348,0.00519132030227275
"124","2",42,"Empiric",10,0.329755611904762,0.00765406312556045,0.00242042728314784,0.00547538691560508
"125","2",42,"Gamma",10,0.327583721428571,0.00552856347813584,0.00174828527797317,0.00395489606418167
