"","EB","n","type","N","mean.waiting.time","sd","se","ci"
"76","2",34,"Analytic",1,0.0228056321417315,NA,NA,NA
"77","2",36,"Simulation",10,0.018235,0.00239283201703093,0.000756679923199255,0.00171172890821079
"78","2",36,"Analytic",1,0.0175141489991421,NA,NA,NA
"79","2",38,"Simulation",10,0.0129766666666667,0.00355284792737628,0.00112350916307176,0.00254155430071219
"80","2",38,"Analytic",1,0.0134923363649302,NA,NA,NA
"81","2",40,"Simulation",10,0.00977333333333332,0.0014548174549271,0.000460053673733899,0.00104071371330877
"82","2",40,"Analytic",1,0.0104229028192938,NA,NA,NA
"83","2",42,"Simulation",10,0.00949333333333335,0.00181229000486362,0.000573096419612667,0.0012964341706008
"84","2",42,"Analytic",1,0.00807176741675866,NA,NA,NA
"85","2",44,"Simulation",10,0.00641166666666666,0.00202342836435561,0.000639864231355279,0.00144747345417871
"86","2",44,"Analytic",1,0.00626499014829149,NA,NA,NA
"87","2",46,"Simulation",10,0.00452833333333331,0.00145850104855706,0.000461218528318413,0.00104334879745075
"88","2",46,"Analytic",1,0.00487250491318597,NA,NA,NA
"89","2",48,"Simulation",10,0.00430333333333339,0.00172996110710582,0.000547061736196088,0.0012375396250288
"90","2",48,"Analytic",1,0.00379651359859954,NA,NA,NA
"91","2",50,"Simulation",10,0.00294166666666664,0.000829965416504005,0.000262458109532296,0.000593721492412959
"92","2",50,"Analytic",1,0.0029631201554985,NA,NA,NA
"93","3",6,"Simulation",10,5.10426166666667,0.248047821336437,0.0784396084065652,0.177442722003998
"94","3",6,"Analytic",1,5.10858309616689,NA,NA,NA
"95","3",8,"Simulation",10,2.88071166666667,0.149836723079936,0.0473825322068517,0.107186734623246
"96","3",8,"Analytic",1,2.80658270744484,NA,NA,NA
"97","3",10,"Simulation",10,1.77330166666667,0.0828286061137138,0.0261927050736283,0.0592520153953692
"98","3",10,"Analytic",1,1.73307557053272,NA,NA,NA
"99","3",12,"Simulation",10,1.13866833333333,0.0631010586917898,0.0199543068234021,0.0451397781092321
"100","3",12,"Analytic",1,1.1405782134604,NA,NA,NA
"101","3",14,"Simulation",10,0.774071666666667,0.040110184699982,0.012683954102198,0.028693097624891
"102","3",14,"Analytic",1,0.781317579645875,NA,NA,NA
"103","3",16,"Simulation",10,0.551721666666667,0.0372212114705223,0.0117703805517636,0.0266264506740326
"104","3",16,"Analytic",1,0.550117543760522,NA,NA,NA
"105","3",18,"Simulation",10,0.401816666666667,0.0263868958311685,0.00834426912080944,0.0188760481599549
"106","3",18,"Analytic",1,0.395140736929573,NA,NA,NA
"107","3",20,"Simulation",10,0.299813333333333,0.0246955309097331,0.00780941257018465,0.0176661185828896
"108","3",20,"Analytic",1,0.288152138039844,NA,NA,NA
"109","3",22,"Simulation",10,0.21161,0.023396728957825,0.00739869533043446,0.0167370116371039
"110","3",22,"Analytic",1,0.212637672896022,NA,NA,NA
"111","3",24,"Simulation",10,0.155808333333333,0.0091547270728175,0.00289497889073094,0.00654889723381661
"112","3",24,"Analytic",1,0.15841418060763,NA,NA,NA
"113","3",26,"Simulation",10,0.12187,0.0130739274989161,0.00413433888604833,0.00935252432450939
"114","3",26,"Analytic",1,0.118942926243679,NA,NA,NA
"115","3",28,"Simulation",10,0.0900183333333334,0.0174482505578888,0.00551762129482323,0.0124817265336923
"116","3",28,"Analytic",1,0.0898898833536328,NA,NA,NA
"117","3",30,"Simulation",10,0.0688016666666666,0.00761514268731377,0.00240811955990869,0.00544754491132191
"118","3",30,"Analytic",1,0.068308537419191,NA,NA,NA
"119","3",32,"Simulation",10,0.052565,0.00882891031823326,0.00279194658629791,0.00631582196834382
"120","3",32,"Analytic",1,0.0521539764450477,NA,NA,NA
"121","3",34,"Simulation",10,0.0429849999999999,0.00624049128526614,0.00197341661798726,0.00446417853756488
"122","3",34,"Analytic",1,0.0399827286691887,NA,NA,NA
"123","3",36,"Simulation",10,0.02936,0.0034917557223682,0.001104190111561,0.00249785156995868
"124","3",36,"Analytic",1,0.0307613660212392,NA,NA,NA
"125","3",38,"Simulation",10,0.0224533333333334,0.00322866979450911,0.00102099503632366,0.00230965123460098
"126","3",38,"Analytic",1,0.0237411668688721,NA,NA,NA
"127","3",40,"Simulation",10,0.018815,0.0042868694871667,0.00135562716113247,0.00306664169263962
