"","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci"
"47","1",36,"Gamma",10,3.67529433333333,0.154113986625421,0.0487351217025056,0.110246504639165
"48","1",36,"Negexp",10,2.784609,0.106900152736382,0.0338047964866847,0.0764717625092894
"49","1",38,"Empiric",10,3.89093116666667,0.183584551266197,0.0580545325221133,0.1313284765778
"50","1",38,"Gamma",10,3.34138316666667,0.10496992303633,0.0331944042607381,0.0750909593632479
"51","1",38,"Negexp",10,2.52427916666667,0.0770375908091964,0.0243614252409115,0.0551093726047008
"52","1",40,"Empiric",10,3.6702205,0.126184890628278,0.0399031660684592,0.0902672329400914
"53","1",40,"Gamma",10,3.16709483333333,0.0827586539596678,0.0261705842602263,0.0592019746388849
"54","1",40,"Negexp",10,2.3933115,0.0606243320413756,0.0191710970877072,0.0433680345956567
"55","1",42,"Empiric",10,3.33171666666667,0.148231260177559,0.0468748402598102,0.106038255648751
"56","1",42,"Gamma",10,2.93611816666667,0.103677470029104,0.0327856947335813,0.0741663941788862
"57","1",42,"Negexp",10,2.13427533333333,0.0999737823897277,0.0316144858653571,0.0715169356485001
"58","1",44,"Empiric",10,3.0459405,0.0894215288245218,0.0282775702939888,0.0639683081870766
"59","1",44,"Gamma",10,2.73269683333333,0.0955415289784346,0.0302128842706834,0.0683462925617196
"60","1",44,"Negexp",10,1.97556983333333,0.0423060713140663,0.0133783544205962,0.0302639402790048
"61","1",46,"Empiric",10,2.92104,0.131928809569572,0.0417195527234467,0.0943761850220822
"62","1",46,"Gamma",10,2.47137366666667,0.157459809927705,0.0497931639308742,0.112639962444612
"63","1",46,"Negexp",10,1.857365,0.0600391714108689,0.0189860530487611,0.0429494358975216
"64","1",48,"Empiric",10,2.70179516666667,0.0748699826136889,0.0236759673436463,0.0535587591126059
"65","1",48,"Gamma",10,2.34179016666667,0.0645397255665353,0.0204092532352453,0.0461689383934725
"66","1",48,"Negexp",10,1.7408435,0.0472049827973177,0.014927526254859,0.0337684104402877
"67","1",50,"Empiric",10,2.623891,0.0577257099534482,0.0182544723003149,0.0412944852672587
"68","1",50,"Gamma",10,2.16207933333333,0.0902608025790942,0.0285429719584738,0.0645686884634098
"69","1",50,"Negexp",10,1.63442883333333,0.0679092623187209,0.0214747943149006,0.0485793597790704
"83","2",14,"Gamma",10,748.38041,434.735122748001,137.475316675656,310.990772325787
"85","2",16,"Empiric",10,144.995813333333,27.8216679511924,8.79798390306783,19.9024223045082
"86","2",16,"Gamma",10,137.350001666667,27.3012405675095,8.6334103141518,19.5301309815344
"87","2",16,"Negexp",10,91.744565,21.5808183346588,6.82445397078437,15.4379874321965
"88","2",18,"Empiric",10,70.5873116666667,6.67658983248929,2.11132308733882,4.77614464500474
"89","2",18,"Gamma",10,74.1483766666667,10.2095509765327,3.22854349734396,7.30347279792221
"90","2",18,"Negexp",10,45.377,5.49915713585969,1.73898617604846,3.93386003415509
"91","2",20,"Empiric",10,48.0832933333333,4.4291598454301,1.40062332325184,3.16843008307638
"92","2",20,"Gamma",10,47.9367466666667,5.68033829482817,1.79628068919341,4.06346922745496
"93","2",20,"Negexp",10,33.0828716666667,3.99601945969052,1.26365230669774,2.85858011688278
"94","2",22,"Empiric",10,38.122405,4.20279469107304,1.32904037618545,3.00649820663594
"95","2",22,"Gamma",10,34.3798783333333,3.25584019708488,1.02958707203197,2.32908776972156
"96","2",22,"Negexp",10,23.6646983333333,1.50989730808215,0.477471452649654,1.08011546664308
"97","2",24,"Empiric",10,29.7289383333333,1.50436781135962,0.475722872253893,1.07615990297608
"98","2",24,"Gamma",10,27.7079033333333,2.65675275561988,0.840138988768753,1.90052643118927
"99","2",24,"Negexp",10,18.5795633333333,0.717903900503419,0.227021146670971,0.513557513048398
"100","2",26,"Empiric",10,24.5883916666667,1.29119415190616,0.40831144215129,0.923664653515007
"101","2",26,"Gamma",10,22.539335,1.48131306442716,0.468432321135358,1.05966753054254
"102","2",26,"Negexp",10,15.234485,0.55670790440791,0.176046496934829,0.398244844026655
"103","2",28,"Empiric",10,20.4168316666667,1.25813421712446,0.397856972830612,0.900015000857979
"104","2",28,"Gamma",10,18.5218466666667,1.1146363984128,0.352478978191135,0.797362845250868
"105","2",28,"Negexp",10,13.069285,0.901509617816378,0.285082372484767,0.644901130903921
"106","2",30,"Empiric",10,18.2428333333333,0.852853698792009,0.269696019908194,0.610094783213489
"107","2",30,"Gamma",10,15.94176,0.95421522581273,0.301749349158012,0.682604451567494
"108","2",30,"Negexp",10,11.2382233333333,0.471864233534275,0.149216572433791,0.337551338139298
"109","2",32,"Empiric",10,15.7486816666667,1.25172948943417,0.395831620101165,0.895433334673869
"110","2",32,"Gamma",10,14.2829766666667,0.890639178170014,0.281644837639776,0.637124886831957
"111","2",32,"Negexp",10,9.93302666666667,0.53409512655507,0.16889570871099,0.382068637226446
"112","2",34,"Empiric",10,13.61915,0.723567576382879,0.228812158241776,0.517609062701949
"113","2",34,"Gamma",10,12.4258766666667,0.457495298242048,0.14467271612629,0.327272421046558
"114","2",34,"Negexp",10,8.54991,0.308570357565177,0.0975785148318528,0.220737936262087
"115","2",36,"Empiric",10,12.5590216666667,0.450427531478925,0.142437692032059,0.322216445282768
"116","2",36,"Gamma",10,11.202515,0.793134290602174,0.250811084868475,0.567374092144409
"117","2",36,"Negexp",10,7.59838666666667,0.346315879751278,0.109514696989902,0.247739456227383
"118","2",38,"Empiric",10,11.5210366666667,0.489334236539181,0.15474107245634,0.350048625436186
"119","2",38,"Gamma",10,10.083525,0.436024004835984,0.137882896978998,0.311912783028407
"120","2",38,"Negexp",10,6.88326166666667,0.197044420173739,0.0623109167976246,0.14095708675427
"121","2",40,"Empiric",10,10.2537333333333,0.484108012957725,0.153088395448472,0.346310010305044
"122","2",40,"Gamma",10,9.00983833333333,0.313894745574664,0.0992622341574996,0.22454677399474
"123","2",40,"Negexp",10,6.296895,0.379063191012876,0.119870306073216,0.271165471490338
"124","2",42,"Empiric",10,9.36096833333333,0.502991154258547,0.159059769037411,0.359818195841008
"125","2",42,"Gamma",10,8.19823166666667,0.250543017233703,0.0792286586309322,0.179227677620857
"126","2",42,"Negexp",10,5.75939833333333,0.24195528046279,0.0765129778167255,0.173084380815126
"127","2",44,"Empiric",10,8.52275333333333,0.439141986431397,0.138868889333397,0.314143252695376
"128","2",44,"Gamma",10,7.63086333333333,0.472544048492235,0.149431548799252,0.338037648464257
"129","2",44,"Negexp",10,5.35488666666667,0.312992110775028,0.0989767959712819,0.223901067957252
"130","2",46,"Empiric",10,7.99143833333333,0.596752643559858,0.188709755337576,0.426891124726795
