"","Shape","Rate","EB","n","type","N","serverUtilization","sd","max","se","ci"
"42","0.484071",0.497797,"2",42,"Simulation",10,0.0809457223809524,0.00364937432427119,0.0861754785714286,0.00115403348992348,0.00261060512533942
"43","0.484071",0.497797,"2",44,"Simulation",10,0.0783098995454545,0.00294419507711932,0.0845108568181818,0.000931036231955213,0.00210615028094214
"44","0.484071",0.497797,"2",46,"Simulation",10,0.075869732826087,0.00207305786056588,0.0789288152173913,0.000655558456070394,0.00148297625703257
"45","0.484071",0.497797,"2",48,"Simulation",10,0.070900434375,0.0045795099729534,0.0785874333333333,0.00144816820819888,0.00327598408511375
"46","0.484071",0.497797,"2",50,"Simulation",10,0.067787916,0.00354221144964831,0.071651132,0.00112014561348155,0.00253394542291428
"47","0.484071",0.497797,"3",6,"Simulation",10,0.8650673,0.0312282555004871,0.9208645,0.00987524147352207,0.0223393482336899
"48","0.484071",0.497797,"3",8,"Simulation",10,0.643353625,0.0379494048991732,0.693369125,0.012000655532934,0.0271473688721005
"49","0.484071",0.497797,"3",10,"Simulation",10,0.51328216,0.0384954740123274,0.5470531,0.0121733377486775,0.0275380031833327
"50","0.484071",0.497797,"3",12,"Simulation",10,0.43839405,0.017388371824146,0.469883166666667,0.0054986859766198,0.0124388918679885
"51","0.484071",0.497797,"3",14,"Simulation",10,0.379882114285714,0.0126186378295637,0.401635071428571,0.00399036365101849,0.00902682971532107
"52","0.484071",0.497797,"3",16,"Simulation",10,0.32471568125,0.0229480279735622,0.3507839375,0.00725680362057146,0.0164160302892957
"53","0.484071",0.497797,"3",18,"Simulation",10,0.287279394444444,0.0110262225881491,0.304990444444444,0.00348679773665478,0.00788768447520217
"54","0.484071",0.497797,"3",20,"Simulation",10,0.24961881,0.0139069650031478,0.26670335,0.00439776847501978,0.00994844345609412
"55","0.484071",0.497797,"3",22,"Simulation",10,0.241349872727273,0.0117781557241003,0.262881681818182,0.00372457987243068,0.00842558503683308
"56","0.484071",0.497797,"3",24,"Simulation",10,0.214300683333333,0.0112871180056358,0.233953166666667,0.00356930011169064,0.00807431781383741
"57","0.484071",0.497797,"3",26,"Simulation",10,0.196722342307692,0.00787872938737693,0.208227115384615,0.00249147299322142,0.00563610347753411
"58","0.484071",0.497797,"3",28,"Simulation",10,0.18120285,0.00971940660554091,0.196875142857143,0.0030735462378795,0.00695284463721058
"59","0.484071",0.497797,"3",30,"Simulation",10,0.176809136666667,0.00669481994103106,0.185487966666667,0.00211708795383723,0.00478918567904669
"60","0.484071",0.497797,"3",32,"Simulation",10,0.15990845,0.005761465151984,0.1679656875,0.00182193525399576,0.00412150388498108
"61","0.484071",0.497797,"3",34,"Simulation",10,0.148570626470588,0.00581019884157446,0.155842676470588,0.00183734619978471,0.00415636586638304
"62","0.484071",0.497797,"3",36,"Simulation",10,0.14297475,0.00538716132078791,0.151039361111111,0.00170356998964508,0.00385374305440368
"63","0.484071",0.497797,"3",38,"Simulation",10,0.133375676315789,0.00806683320550151,0.144964,0.00255095664340619,0.00577066484286898
"64","0.484071",0.497797,"3",40,"Simulation",10,0.126869355,0.00401526606449962,0.134692375,0.00126973861753993,0.00287234830854945
"65","0.484071",0.497797,"3",42,"Simulation",10,0.124432488095238,0.00337413960478725,0.128933095238095,0.00106699662945081,0.00241371406799369
"66","0.484071",0.497797,"3",44,"Simulation",10,0.117578213636364,0.00387944869036923,0.123470659090909,0.00122678939273241,0.00277519041201448
"67","0.484071",0.497797,"3",46,"Simulation",10,0.108128896086957,0.00440936706176307,0.113965152173913,0.00139436429548956,0.00315427117859179
"68","0.484071",0.497797,"3",48,"Simulation",10,0.108670287916667,0.00548217148467002,0.117175729166667,0.00173361484151841,0.00392170923127415
"69","0.484071",0.497797,"3",50,"Simulation",10,0.1031096958,0.0025708474371241,0.10600077,0.000812973341811867,0.00183907346834371
"71","0.484071",0.497797,"4",8,"Simulation",10,0.877062275,0.0312273311571326,0.92396025,0.00987494917048803,0.0223386869982877
"72","0.484071",0.497797,"4",10,"Simulation",10,0.68334732,0.015658677503459,0.7024994,0.00495170860569696,0.0112015430904669
"73","0.484071",0.497797,"4",12,"Simulation",10,0.570871616666667,0.0227006112683579,0.615709583333333,0.00717856358860948,0.0162390390405753
"74","0.484071",0.497797,"4",14,"Simulation",10,0.478889592857143,0.0226309016574931,0.507362285714286,0.00715651947409579,0.0161891717890306
"75","0.484071",0.497797,"4",16,"Simulation",10,0.4256799,0.0139260300415777,0.452886375,0.00440379736953148,0.00996208176299753
"76","0.484071",0.497797,"4",18,"Simulation",10,0.384193683333333,0.0254098904765894,0.428767111111111,0.0080353129001444,0.0181771406323865
"77","0.484071",0.497797,"4",20,"Simulation",10,0.340592945,0.0118545106520319,0.3587347,0.00374872542071487,0.00848020606183385
"78","0.484071",0.497797,"4",22,"Simulation",10,0.309394172727273,0.0170423515668415,0.351233363636364,0.00538926476365583,0.01219136388732
"79","0.484071",0.497797,"4",24,"Simulation",10,0.291809333333333,0.0183410549732777,0.313068916666667,0.00579995084059161,0.0131204003379218
"80","0.484071",0.497797,"4",26,"Simulation",10,0.26229915,0.0206295625796882,0.306704038461538,0.00652364048847937,0.014757500058534
"81","0.484071",0.497797,"4",28,"Simulation",10,0.236359860714286,0.0115888609898138,0.261015928571429,0.00366471962148849,0.00829017174139731
"82","0.484071",0.497797,"4",30,"Simulation",10,0.230417583333333,0.0147168551191512,0.2502315,0.00465387821712264,0.0105278039436545
"83","0.484071",0.497797,"4",32,"Simulation",10,0.213433046875,0.0109629361682683,0.23586240625,0.00346678481347667,0.00784241209768629
"84","0.484071",0.497797,"4",34,"Simulation",10,0.206296997058824,0.0121149695948607,0.229345029411765,0.00383108977034473,0.00866652716530825
"85","0.484071",0.497797,"4",36,"Simulation",10,0.190766180555556,0.0133965052533536,0.209115194444444,0.00423634692870083,0.00958328254885875
"86","0.484071",0.497797,"4",38,"Simulation",10,0.176763344736842,0.00541786217733094,0.187227421052632,0.00171327845292448,0.00387570512415095
"87","0.484071",0.497797,"4",40,"Simulation",10,0.1697028725,0.00717642034500885,0.179859725,0.00226938337369993,0.00513370185395046
"88","0.484071",0.497797,"4",42,"Simulation",10,0.160740835714286,0.00606843365597481,0.166582619047619,0.00191900721825031,0.00434109592422639
"89","0.484071",0.497797,"4",44,"Simulation",10,0.1529197,0.010182197543741,0.173598431818182,0.00321989358239936,0.00728390533087268
"90","0.484071",0.497797,"4",46,"Simulation",10,0.151701960869565,0.00652759967748853,0.162863043478261,0.00206420826346443,0.0046695635087033
"91","0.484071",0.497797,"4",48,"Simulation",10,0.14464994375,0.00954843872014105,0.156216916666667,0.00301948144541888,0.00683054157969059
"92","0.484071",0.497797,"4",50,"Simulation",10,0.138964842,0.00558948350550051,0.14627004,0.00176754988213239,0.00399847562646891
"95","0.484071",0.497797,"5",10,"Simulation",10,0.85388094,0.0452048173220313,0.9376264,0.0142950183949452,0.0323375782544574
"96","0.484071",0.497797,"5",12,"Simulation",10,0.709817916666667,0.0459363722305842,0.801125416666667,0.0145263563693956,0.0328609011103875
"97","0.484071",0.497797,"5",14,"Simulation",10,0.617681842857143,0.0273005639348073,0.678603714285714,0.00863319634410398,0.0195296469476581
"98","0.484071",0.497797,"5",16,"Simulation",10,0.53185535625,0.026609399457434,0.5852356875,0.008414630945474,0.0190352176656074
