"","Shape","Rate","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci"
"316","1",0.497797,"2",38,"Simulation",10,4.11430166666667,0.452630326191553,0.143134276883027,0.323792229692882
"317","1",0.497797,"2",40,"Simulation",10,3.81411833333333,0.29710433180685,0.0939526391212057,0.21253563555183
"318","1",0.497797,"2",42,"Simulation",10,3.68465833333333,0.223031819859304,0.0705288541447776,0.159547352587559
"319","1",0.497797,"2",44,"Simulation",10,3.33645833333333,0.228917343464598,0.0723900201263191,0.163757602543859
"320","1",0.497797,"2",46,"Simulation",10,3.05053333333333,0.330546127409896,0.104527863436348,0.236458454984528
"321","1",0.497797,"2",48,"Simulation",10,2.97655833333333,0.237851478485843,0.07521524168538,0.17014869773018
"322","1",0.497797,"2",50,"Simulation",10,2.86823333333333,0.378827807067284,0.119795871133945,0.270997087959304
"323","1",0.497797,"3",6,"Simulation",10,90.97056,14.3988628588888,4.55332023504922,10.3003259842306
"324","1",0.497797,"3",8,"Simulation",10,60.4538383333333,3.35822455345423,1.06196384832172,2.40232912611373
"325","1",0.497797,"3",10,"Simulation",10,39.2379016666667,2.93394116640552,0.927793660677255,2.09881507509982
"326","1",0.497797,"3",12,"Simulation",10,30.61939,2.88259160094729,0.911555502306461,2.06208180883068
"327","1",0.497797,"3",14,"Simulation",10,23.510165,1.72457601057835,0.545358819151423,1.23368735903856
"328","1",0.497797,"3",16,"Simulation",10,20.4351516666667,1.44287810705475,0.456278120428528,1.0321728183555
"329","1",0.497797,"3",18,"Simulation",10,17.75523,1.55625989276047,0.492132589229246,1.11328126177136
"330","1",0.497797,"3",20,"Simulation",10,15.046315,0.641004885068826,0.202703542811195,0.458547271294917
"331","1",0.497797,"3",22,"Simulation",10,13.4367883333333,0.661887360482167,0.209307161360057,0.473485694295613
"332","1",0.497797,"3",24,"Simulation",10,12.31771,0.970572480206055,0.306921967172982,0.694305726460478
"333","1",0.497797,"3",26,"Simulation",10,10.2936583333333,0.921342930393348,0.291354216613696,0.659089028024131
"334","1",0.497797,"3",28,"Simulation",10,9.674605,1.33345049955226,0.421674072567448,0.953893023624742
"335","1",0.497797,"3",30,"Simulation",10,9.17423666666667,1.28691805378126,0.406959221193985,0.920605717190752
"336","1",0.497797,"3",32,"Simulation",10,7.78007666666667,0.537479245261079,0.169965861009327,0.384489489913414
"337","1",0.497797,"3",34,"Simulation",10,7.239005,0.581314552345388,0.18382780224126,0.415847379561519
