page.load.time,qoe,tdch
4.6,2.5104,8
4.7,2.494,8
4.8,2.478,8
4.9,2.4622,8
5,2.4468,8
5.1,2.4316,8
5.2,2.4167,8
5.3,2.4021,8
5.4,2.3878,8
5.5,2.3737,8
5.6,2.3599,8
5.7,2.3462,8
5.8,2.3329,8
5.9,2.3197,8
6,2.3067,8
6.1,2.294,8
6.2,2.2815,8
6.3,2.2691,8
6.4,2.257,8
6.5,2.245,8
6.6,2.2332,8
6.7,2.2215,8
6.8,2.2101,8
6.9,2.1988,8
7,2.1876,8
7.1,2.1766,8
7.2,2.1658,8
7.3,2.1551,8
7.4,2.1445,8
7.5,2.1341,8
7.6,2.1238,8
7.7,2.1137,8
7.8,2.1036,8
7.9,2.0937,8
8,2.084,8
8.1,2.0743,8
8.2,2.0647,8
8.3,2.0553,8
8.4,2.046,8
8.5,2.0368,8
8.6,2.0277,8
8.7,2.0186,8
8.8,2.0097,8
8.9,2.0009,8
9,1.9922,8
9.1,1.9836,8
9.2,1.975,8
9.3,1.9666,8
9.4,1.9583,8
9.5,1.95,8
9.6,1.9418,8
9.7,1.9337,8
9.8,1.9257,8
9.9,1.9178,8
10,1.9099,8
10.1,1.9021,8
10.2,1.8944,8
10.3,1.8868,8
10.4,1.8792,8
10.5,1.8717,8
10.6,1.8643,8
10.7,1.8569,8
10.8,1.8496,8
10.9,1.8424,8
11,1.8353,8
11.1,1.8282,8
11.2,1.8211,8
11.3,1.8142,8
11.4,1.8073,8
11.5,1.8004,8
11.6,1.7936,8
11.7,1.7869,8
11.8,1.7802,8
11.9,1.7736,8
12,1.767,8
12.1,1.7605,8
12.2,1.754,8
12.3,1.7476,8
12.4,1.7413,8
12.5,1.735,8
12.6,1.7287,8
12.7,1.7225,8
12.8,1.7163,8
12.9,1.7102,8
13,1.7041,8
13.1,1.6981,8
13.2,1.6921,8
13.3,1.6862,8
13.4,1.6803,8
13.5,1.6744,8
13.6,1.6686,8
13.7,1.6629,8
13.8,1.6572,8
13.9,1.6515,8
14,1.6458,8
14.1,1.6402,8
14.2,1.6347,8
14.3,1.6291,8
14.4,1.6236,8
14.5,1.6182,8
14.6,1.6128,8
14.7,1.6074,8
14.8,1.6021,8
14.9,1.5968,8
15,1.5915,8
