page.load.time,qoe,tdch
17.4,1.4027,4
17.5,1.3986,4
17.6,1.3945,4
17.7,1.3904,4
17.8,1.3863,4
17.9,1.3822,4
18,1.3782,4
18.1,1.3742,4
18.2,1.3702,4
18.3,1.3662,4
18.4,1.3623,4
18.5,1.3583,4
18.6,1.3544,4
18.7,1.3505,4
18.8,1.3466,4
18.9,1.3428,4
19,1.3389,4
19.1,1.3351,4
19.2,1.3313,4
19.3,1.3275,4
19.4,1.3238,4
19.5,1.32,4
19.6,1.3163,4
19.7,1.3126,4
19.8,1.3089,4
19.9,1.3052,4
20,1.3015,4
20.1,1.2979,4
20.2,1.2942,4
20.3,1.2906,4
20.4,1.287,4
20.5,1.2834,4
20.6,1.2799,4
20.7,1.2763,4
20.8,1.2728,4
20.9,1.2693,4
21,1.2658,4
21.1,1.2623,4
21.2,1.2588,4
21.3,1.2553,4
21.4,1.2519,4
21.5,1.2485,4
21.6,1.2451,4
21.7,1.2417,4
21.8,1.2383,4
21.9,1.2349,4
22,1.2315,4
22.1,1.2282,4
22.2,1.2249,4
22.3,1.2216,4
22.4,1.2183,4
22.5,1.215,4
22.6,1.2117,4
22.7,1.2084,4
22.8,1.2052,4
22.9,1.2019,4
23,1.1987,4
23.1,1.1955,4
23.2,1.1923,4
23.3,1.1891,4
23.4,1.186,4
23.5,1.1828,4
23.6,1.1797,4
23.7,1.1765,4
23.8,1.1734,4
23.9,1.1703,4
24,1.1672,4
24.1,1.1641,4
24.2,1.161,4
24.3,1.158,4
24.4,1.1549,4
24.5,1.1519,4
24.6,1.1489,4
24.7,1.1459,4
24.8,1.1428,4
24.9,1.1399,4
25,1.1369,4
0.2,3.2177,8
0.3,3.1786,8
0.4,3.1412,8
0.5,3.1056,8
0.6,3.0715,8
0.7,3.0387,8
0.8,3.0073,8
0.9,2.977,8
1,2.9479,8
1.1,2.9198,8
1.2,2.8926,8
1.3,2.8663,8
1.4,2.8409,8
1.5,2.8162,8
1.6,2.7923,8
1.7,2.7691,8
1.8,2.7465,8
1.9,2.7245,8
2,2.7032,8
2.1,2.6823,8
2.2,2.6621,8
2.3,2.6423,8
2.4,2.623,8
2.5,2.6041,8
2.6,2.5857,8
2.7,2.5677,8
2.8,2.5501,8
2.9,2.5329,8
3,2.516,8
3.1,2.4995,8
3.2,2.4833,8
3.3,2.4675,8
3.4,2.4519,8
3.5,2.4367,8
3.6,2.4217,8
3.7,2.407,8
3.8,2.3926,8
3.9,2.3784,8
4,2.3645,8
4.1,2.3508,8
4.2,2.3373,8
4.3,2.3241,8
4.4,2.3111,8
4.5,2.2983,8
4.6,2.2857,8
4.7,2.2732,8
4.8,2.261,8
4.9,2.249,8
5,2.2371,8
5.1,2.2254,8
5.2,2.2139,8
5.3,2.2025,8
5.4,2.1913,8
5.5,2.1803,8
5.6,2.1694,8
5.7,2.1587,8
5.8,2.1481,8
5.9,2.1376,8
6,2.1273,8
6.1,2.1171,8
6.2,2.107,8
6.3,2.0971,8
6.4,2.0872,8
6.5,2.0775,8
6.6,2.0679,8
6.7,2.0585,8
6.8,2.0491,8
6.9,2.0398,8
