"","size.threshold","mean.life.time","connected.count","disconnected.time","mechanism"
"37",2,59.762633570002,19,0.0054848536858845,"Immediate"
"38",512,100.97169308964,17,0.0039134340261349,"Immediate"
"39",512,180.30498013286,18,0.0040384282557769,"Immediate"
"40",512,85.700261078198,17,0.0055898573101245,"Immediate"
"41",512,85.149845651032,18,0.0030476785220727,"Immediate"
"42",512,124.44438161151,13,0.0020979409505787,"Immediate"
"43",512,151.91340427172,15,0.0059321309789707,"Immediate"
"44",512,83.956413140086,7,0.0027817888785426,"Immediate"
"45",512,94.324280963372,9,0.0032029195985825,"Immediate"
"46",512,106.54176921553,16,0.003071619601847,"Immediate"
"47",512,95.316788637169,10,0.0021024083990631,"Immediate"
"48",2,110.50801875498,15,0.0022881038931363,"Immediate"
"49",512,94.377598588944,17,0.0067979032212724,"Immediate"
"50",512,267.10872384754,12,0.001411838180583,"Immediate"
"51",512,98.758078513234,19,0.0076182933641221,"Immediate"
"52",512,271.15193356356,2,0.0012960937466843,"Immediate"
"53",512,83.338141595503,19,0.0012670178722821,"Immediate"
"54",512,180.5951881769,7,0.0019004134236863,"Immediate"
"55",512,77.54247299255,17,0.003656282348509,"Immediate"
"56",512,64.384067953159,19,0.0066859996859597,"Immediate"
"57",512,260.73754639975,6,0.0015907350498722,"Immediate"
"58",512,300.86825196963,7,0.0035185093202197,"Immediate"
"59",2,314.64471330064,2,0.0013996466208498,"Immediate"
"60",512,76.254936159163,13,0.0028515950910797,"Immediate"
"61",512,101.57339524408,10,0.0018246932910007,"Immediate"
"62",512,116.17144959674,20,0.0037468220552561,"Immediate"
"63",512,99.075375175111,19,0.0051176130569084,"Immediate"
"64",512,150.61602979128,5,0.0055313210920805,"Immediate"
"65",512,111.31717636728,7,0.0031827783624767,"Immediate"
"66",512,109.61605678011,10,0.0021270479167681,"Immediate"
"67",512,98.002555464901,17,0.0047831782100383,"Immediate"
"68",512,82.921309052178,12,0.0027385122186089,"Immediate"
"69",512,63.473808796964,23,0.0040353482572584,"Immediate"
"70",2,161.4254115001,6,0.0029745944363427,"Immediate"
"71",512,76.098968330257,10,0.0022350550944964,"Immediate"
"72",512,110.29011724521,7,0.0054195331579431,"Immediate"
"73",512,175.40522674577,18,0.0044154159154639,"Immediate"
"74",512,83.606831414759,7,0.0040757015408956,"Immediate"
"75",512,147.61940176174,13,0.0032944121114953,"Immediate"
"76",512,95.326561417014,11,0.005092256607138,"Immediate"
"77",512,97.076353692657,12,0.0020401025362117,"Immediate"
"78",512,89.518322610192,12,0.003136747396585,"Immediate"
"79",512,316.17116724306,4,0.0015059438305132,"Immediate"
"80",512,291.56342515599,9,0.0035241764543116,"Immediate"
"81",2,201.02332608185,4,0.00061122860135172,"Immediate"
"82",512,193.95671922672,10,0.0014071468858217,"Immediate"
"83",512,240.51806551573,2,0.00076274931440786,"Immediate"
"84",512,106.01170972244,12,0.0024034234264227,"Immediate"
"85",512,104.68568895087,4,0.0025660875672807,"Immediate"
"86",512,59.566107079248,36,0.0078584342395832,"Immediate"
"87",512,170.25540609457,9,0.002076164070452,"Immediate"
"88",512,88.993166479853,15,0.0060419059391767,"Immediate"
"89",512,87.193568258864,23,0.0051942199903227,"Immediate"
"90",512,107.44221166043,13,0.0077020851189965,"Immediate"
"91",512,80.332180764921,16,0.0046765277447405,"Immediate"
"92",2,108.94493382037,14,0.0011301543482631,"Immediate"
"93",512,110.24434182498,18,0.0024632668507502,"Immediate"
"94",512,132.8369120463,7,0.0015024313588466,"Immediate"
"95",512,208.59344470002,8,0.0044498841715916,"Immediate"
"96",512,125.4826257954,5,0.0041088673565207,"Immediate"
"97",512,144.01419925236,9,0.0036499216462754,"Immediate"
"98",512,342.21753561084,8,0.001648762322998,"Immediate"
"99",512,101.74328821519,9,0.002773953706249,"Immediate"
"100",512,106.73352505302,16,0.0029652803084255,"Immediate"
"101",512,105.10456779865,11,0.0040779852929235,"Immediate"
"102",512,80.778663545781,16,0.0046810278485464,"Immediate"
"103",2,91.286084624941,17,0.0038632677640084,"Immediate"
"104",512,195.07409705044,4,0.0027486826180662,"Immediate"
"105",512,141.32801049616,17,0.0052917517113446,"Immediate"
"106",512,89.856357830428,17,0.0049723710794983,"Immediate"
"107",512,177.38968135843,7,0.0028257981695872,"Immediate"
"108",512,59.550752185037,16,0.0032822012919911,"Immediate"
"109",512,52.975643044819,23,0.0092306995278307,"Immediate"
"110",512,69.067971288599,13,0.004301022726968,"Immediate"
"111",512,128.76111800287,14,0.0028498631651803,"Immediate"
"112",512,117.34543182482,13,0.0047921582504263,"Immediate"
"113",512,95.537374609512,16,0.0016592175013277,"Immediate"
"114",1,244.40549539397,11,0.0018284832473202,"Immediate"
"115",2,75.9720504972,24,0.006558190696726,"Immediate"
"116",2,244.40549539397,11,0.0018284832473202,"Immediate"
"117",2,219.90794712736,6,0.0020623408244019,"Immediate"
