"","mechanism","parameter","connected.count","relative.disconnected.time","waiting.time"
"96","Intervall",1,5,0.003586131312649,127.69850377957
"97","Intervall",1,17,0.012052061157116,117.83246394853
"98","Intervall",1,5,0.0020009034589025,224.14464117302
"99","Intervall",1,11,0.0052323729334886,121.57617840241
"100","Intervall",1,16,0.0018574898733049,149.68084018182
"101","Size",2,5,0.0027065526249982,104.29640747737
"102","Size",2,10,0.0017640881351833,51.290347475735
"103","Size",2,21,0.0074376497860917,46.981412070576
"104","Size",2,9,0.0013350454693848,240.65635810789
"105","Size",2,8,0.0034449138672821,92.227551602349
"106","Size",2,13,0.0025956872595772,123.79407041841
"107","Size",2,9,0.0012162039565083,106.49415674608
"108","Size",2,13,0.0041780314185686,197.23548282577
"109","Size",2,8,0.0024299816589998,113.77914895753
"110","Size",2,6,0.0013530972527332,94.914994665373
"111","Size",2,18,0.0041107881834857,62.639018735023
"112","Size",2,14,0.0024550653524437,118.95578661075
"113","Size",2,8,0.0020318625488154,88.330042367298
"114","Size",2,9,0.0021884492704967,67.964865117778
"115","Size",2,10,0.0032087032833375,150.97542586194
"116","Size",2,9,0.004026691552546,74.23634618462
"117","Size",2,7,0.0061021971828168,173.85086178929
"118","Size",2,7,0.0023498572678539,242.81747619093
"119","Size",2,3,0.0010528582469959,352.72213269325
"120","Size",2,11,0.0060227210641834,87.867192399728
"121","Size",2,14,0.0019537448281452,118.8957063745
"122","Size",2,19,0.0047140741542964,70.852381586202
"123","Size",2,6,0.0019662585849593,89.824522929545
"124","Size",2,16,0.0042052711311543,95.887578409571
"125","Size",2,11,0.0023940427717645,248.59684659842
"126","Size",2,20,0.0035018301644128,94.128185262078
"127","Size",2,17,0.0061608794075948,119.35601592187
"128","Size",2,10,0.0024225592219925,135.69920019978
"129","Size",2,19,0.0029760861182965,136.66974877108
"130","Size",2,9,0.0029840134325085,133.3156191637
"131","Size",2,15,0.0033901428662988,82.571747196584
"132","Size",2,11,0.0040223271808027,164.73660369091
"133","Size",2,17,0.0031101126404531,95.902034617216
"134","Size",2,16,0.0025380642556551,87.096354776876
"135","Size",2,12,0.0023525322479957,118.14343458865
"136","Size",2,13,0.0045446364394174,89.909552779845
"137","Size",2,6,0.0013169036030191,263.94120862418
"138","Size",2,7,0.0031627621366773,132.58145256616
"139","Size",2,14,0.0019810142906883,107.15849376047
"140","Size",2,11,0.0018268847371959,104.09822876271
"141","Size",2,5,0.0024420630126722,206.78186286221
"142","Size",2,16,0.0038484215927979,105.79798333826
"143","Size",2,4,0.0028646170782878,142.19409364221
"144","Size",2,4,0.0013552753079485,123.20835135205
"145","Size",2,13,0.0059865437592102,205.32325726936
"146","Size",2,2,0.0013996466208498,314.64471330064
"147","Size",2,14,0.0043005169440939,93.429234888608
"148","Size",2,3,0.0032777595347641,212.32230615697
"149","Size",2,25,0.0059632769307136,67.052833880217
"150","Size",2,20,0.0043453551263218,96.829458471949
"151","Size",2,15,0.01047871234453,76.839329171844
"152","Size",2,8,0.0024189869472525,125.0071886803
"153","Size",2,10,0.0016934670228687,57.103145909183
