"","number.of.stalling.events","variable","value"
"87",2.5,"2",2.52815195113236
"88",2.6,"2",2.47898688633094
"89",2.7,"2",2.43217283938661
"90",2.8,"2",2.38759738728141
"91",2.9,"2",2.34515348293905
"92",3,"2",2.30473919815353
"93",3.1,"2",2.2662574788105
"94",3.2,"2",2.22961591181371
"95",3.3,"2",2.19472650315678
"96",3.4,"2",2.16150546660732
"97",3.5,"2",2.12987302249589
"98",3.6,"2",2.09975320612675
"99",3.7,"2",2.07107368535007
"100",3.8,"2",2.04376558685772
"101",3.9,"2",2.01776333078535
"102",4,"2",1.99300447322366
"103",4.1,"2",1.96942955626052
"104",4.2,"2",1.94698196519401
"105",4.3,"2",1.92560779257329
"106",4.4,"2",1.90525570874092
"107",4.5,"2",1.8858768385657
"108",4.6,"2",1.86742464406997
"109",4.7,"2",1.84985481266962
"110",4.8,"2",1.83312515075822
"111",4.9,"2",1.81719548237994
"112",5,"2",1.8020275527478
"113",5.1,"2",1.78758493637547
"114",5.2,"2",1.77383294960227
"115",5.3,"2",1.76073856730096
"116",5.4,"2",1.7482703435686
"117",5.5,"2",1.73639833620979
"118",5.6,"2",1.72509403483108
"119",5.7,"2",1.71433029237385
"120",5.8,"2",1.70408125992115
"121",5.9,"2",1.69432232462201
"122",6,"2",1.68503005058423
"123",0,"3",5
"124",0.1,"3",4.78301749835755
"125",0.2,"3",4.57948682700625
"126",0.3,"3",4.38857403972089
"127",0.4,"3",4.20949689077287
"128",0.5,"3",4.04152162975792
"129",0.6,"3",3.88395999512841
"130",0.7,"3",3.73616639411171
"131",0.8,"3",3.59753525745938
"132",0.9,"3",3.46749855818888
"133",1,"3",3.34552348415067
"134",1.1,"3",3.2311102548847
"135",1.2,"3",3.12379007382076
"136",1.3,"3",3.02312320743225
"137",1.4,"3",2.92869718347273
"138",1.5,"3",2.84012510091289
"139",1.6,"3",2.75704404465292
"140",1.7,"3",2.67911359851476
"141",1.8,"3",2.60601445042152
"142",1.9,"3",2.53744708404862
"143",2,"3",2.47313055158618
"144",2.1,"3",2.41280132258393
"145",2.2,"3",2.35621220416199
"146",2.3,"3",2.30313132816317
"147",2.4,"3",2.25334120109681
"148",2.5,"3",2.20663781298129
"149",2.6,"3",2.16282980143391
"150",2.7,"3",2.12173766758297
"151",2.8,"3",2.0831930405894
"152",2.9,"3",2.04703798776439
"153",3,"3",2.01312436745623
"154",3.1,"3",1.98131322205498
"155",3.2,"3",1.95147420862782
"156",3.3,"3",1.92348506485207
"157",3.4,"3",1.89723110805784
"158",3.5,"3",1.87260476532738
"159",3.6,"3",1.84950513272606
"160",3.7,"3",1.8278375618587
"161",3.8,"3",1.80751327205742
"162",3.9,"3",1.78844898661192
"163",4,"3",1.77056659155155
"164",4.1,"3",1.75379281558134
"165",4.2,"3",1.73805892986028
"166",4.3,"3",1.72330046639188
"167",4.4,"3",1.70945695387312
"168",4.5,"3",1.69647166991947
"169",4.6,"3",1.68429140865061
"170",4.7,"3",1.67286626268484
"171",4.8,"3",1.66214941864857
"172",4.9,"3",1.65209696536336
"173",5,"3",1.64266771392428
"174",5.1,"3",1.6338230289326
"175",5.2,"3",1.62552667019112
"176",5.3,"3",1.61774464421372
"177",5.4,"3",1.61044506494043
"178",5.5,"3",1.60359802308762
"179",5.6,"3",1.59717546359769
"180",5.7,"3",1.59115107068635
"181",5.8,"3",1.58550016001637
"182",5.9,"3",1.58019957755604
"183",6,"3",1.57522760470781
"184",0,"4",5
"185",0.1,"4",4.7341397355578
"186",0.2,"4",4.48847423688969
"187",0.3,"4",4.26146950806163
"188",0.4,"4",4.05170807558668
"189",0.5,"4",3.85788013737104
"190",0.6,"4",3.6787753839869
"191",0.7,"4",3.51327544120207
"192",0.8,"4",3.36034688657551
"193",0.9,"4",3.21903479651289
"194",1,"4",3.08845678348825
"195",1.1,"4",2.96779748619876
"196",1.2,"4",2.85630347824779
"197",1.3,"4",2.7532785635647
"198",1.4,"4",2.65807942918497
"199",1.5,"4",2.57011162824549
"200",1.6,"4",2.48882586811177
"201",1.7,"4",2.41371458045935
"202",1.8,"4",2.34430875189203
"203",1.9,"4",2.28017499530664
"204",2,"4",2.22091284371709
"205",2.1,"4",2.16615224963983
"206",2.2,"4",2.11555127442612
"207",2.3,"4",2.06879395311279
"208",2.4,"4",2.02558832145916
"209",2.5,"4",1.98566459285034
"210",2.6,"4",1.94877347368309
"211",2.7,"4",1.91468460671508
"212",2.8,"4",1.88318513265754
"213",2.9,"4",1.85407836102935
"214",3,"4",1.8271825419732
"215",3.1,"4",1.80232973136467
"216",3.2,"4",1.77936474212771
"217",3.3,"4",1.75814417520831
"218",3.4,"4",1.73853552415543
"219",3.5,"4",1.72041634771805
"220",3.6,"4",1.70367350529185
"221",3.7,"4",1.68820245044135
"222",3.8,"4",1.6739065780862
"223",3.9,"4",1.66069662127528
"224",4,"4",1.64849009378179
"225",4.1,"4",1.63721077503897
"226",4.2,"4",1.62678823420006
"227",4.3,"4",1.61715739035075
"228",4.4,"4",1.60825810612789
"229",4.5,"4",1.60003481220698
"230",4.6,"4",1.59243616031362
"231",4.7,"4",1.58541470259219
"232",4.8,"4",1.57892659532979
"233",4.9,"4",1.57293132518525
"234",5,"4",1.56739145621385
"235",5.1,"4",1.56227239610809
"236",5.2,"4",1.55754218019474
"237",5.3,"4",1.55317127183955
"238",5.4,"4",1.54913237801327
"239",5.5,"4",1.54540027886719
"240",5.6,"4",1.54195167025422
"241",5.7,"4",1.53876501821206
"242",5.8,"4",1.53582042449978
"243",5.9,"4",1.53309950234837
"244",6,"4",1.53058526164916
