"","Type","variable","value"
"42853","Measurement","Upload",9068925.29135058
"42854","Measurement","Upload",9133229.28478153
"42855","Measurement","Upload",8111952.26228184
"42856","Measurement","Upload",14074382.7457317
"42857","Measurement","Upload",645106.817960388
"42858","Measurement","Upload",821865.750182803
"42859","Measurement","Upload",1342490.73814934
"42860","Measurement","Upload",6845254.92289948
"42861","Measurement","Upload",12922899.0287
"42862","Measurement","Upload",11907761.3418102
"42863","Measurement","Upload",4847237.52867729
"42864","Measurement","Upload",11325445.5480603
"42865","Measurement","Upload",10024283.2413649
"42866","Measurement","Upload",12047953.4186449
"42867","Measurement","Upload",14840059.845853
"42868","Measurement","Upload",12652758.0659696
"42869","Measurement","Upload",6026017.04812346
"42870","Measurement","Upload",10495176.5738205
"42871","Measurement","Upload",11397470.4934621
"42872","Measurement","Upload",6807906.15251085
"42873","Measurement","Upload",7453807.46132388
"42874","Measurement","Upload",11140547.0680388
"42875","Measurement","Upload",6167847.84720335
"42876","Measurement","Upload",7808061.50497329
"42877","Measurement","Upload",10634429.3349831
"42878","Measurement","Upload",14521569.0478704
"42879","Measurement","Upload",14523718.6191501
"42880","Measurement","Upload",12264652.7093922
"42881","Measurement","Upload",13264055.697298
"42882","Measurement","Upload",9679808.20867667
"42883","Measurement","Upload",11846423.9991898
"42884","Measurement","Upload",7387963.75367583
"42885","Measurement","Upload",10815620.2441875
"42886","Measurement","Upload",12908469.7725027
"42887","Measurement","Upload",13994062.7240445
"42888","Measurement","Upload",12818344.7608747
"42889","Measurement","Upload",5423881.73954491
"42890","Measurement","Upload",14163591.3280449
"42891","Measurement","Upload",5720634.45835331
"42892","Measurement","Upload",5243927.16223331
"42893","Measurement","Upload",6895762.97218509
"42894","Measurement","Upload",6109771.35777536
"42895","Measurement","Upload",15319394.5423545
"42896","Measurement","Upload",11843467.1615144
"42897","Measurement","Upload",16318217.1223019
"42898","Measurement","Upload",10760670.8517453
"42899","Measurement","Upload",15475274.4986333
"42900","Measurement","Upload",15842528.4851278
"42901","Measurement","Upload",12783825.0893111
"42902","Measurement","Upload",13351437.660284
"42903","Measurement","Upload",16052828.91108
"42904","Measurement","Upload",14103170.3052969
"42905","Measurement","Upload",328399.974446899
"42906","Measurement","Upload",12393510.1050676
"42907","Measurement","Upload",14153872.2076356
"42908","Measurement","Upload",11612122.7936101
"42909","Measurement","Upload",9204377.09985241
"42910","Measurement","Upload",14639038.2243747
"42911","Measurement","Upload",11483383.2752192
"42912","Measurement","Upload",11256180.8809314
