"","type","variable","image.size"
"320","Measurement","size",7673069
"321","Measurement","size",8483097
"322","Measurement","size",7856072
"323","Measurement","size",8576227
"324","Measurement","size",10221694
"325","Measurement","size",10107358
"326","Measurement","size",9048028
"327","Measurement","size",9161909
"328","Measurement","size",9577832
"329","Measurement","size",8912018
"330","Measurement","size",9031790
"331","Measurement","size",8839778
"332","Measurement","size",10960686
"333","Measurement","size",8920993
"334","Measurement","size",9114311
"335","Measurement","size",9664146
"336","Measurement","size",9103033
"337","Measurement","size",9118865
"338","Measurement","size",9036375
"339","Measurement","size",9042117
"340","Measurement","size",9659136
"341","Measurement","size",9424589
"342","Measurement","size",8184240
"343","Measurement","size",8141522
"344","Measurement","size",7301539
"345","Measurement","size",7994759
"346","Measurement","size",7440737
"347","Measurement","size",7057562
"348","Measurement","size",6551566
"349","Measurement","size",6628287
"350","Measurement","size",7752660
"351","Measurement","size",8297434
"352","Measurement","size",7884043
"353","Measurement","size",953223
"354","Measurement","size",1581106
"355","Measurement","size",1093915
"356","Measurement","size",2365573
"357","Measurement","size",2164760
"358","Measurement","size",2202028
"359","Measurement","size",2986889
"360","Measurement","size",2778469
"361","Measurement","size",5710867
"362","Measurement","size",4637975
"363","Measurement","size",4960202
"364","Measurement","size",3937551
"365","Measurement","size",4750067
"366","Measurement","size",4646257
"367","Measurement","size",4999794
"368","Measurement","size",4498559
"369","Measurement","size",3558508
"370","Measurement","size",3991546
"371","Measurement","size",4149521
"372","Measurement","size",3948209
"373","Measurement","size",3925934
"374","Measurement","size",3250993
"375","Measurement","size",2970515
"376","Measurement","size",4383819
"377","Measurement","size",3414619
"378","Measurement","size",3361153
"379","Measurement","size",3289070
"380","Measurement","size",3503472
"381","Measurement","size",2683986
"382","Measurement","size",3362321
"383","Measurement","size",3792491
"384","Measurement","size",3949516
"385","Measurement","size",3782492
"386","Measurement","size",3595902
"387","Measurement","size",3610322
"388","Measurement","size",3398624
"389","Measurement","size",4493541
"390","Measurement","size",4206433
"391","Measurement","size",3447146
"392","Measurement","size",3509726
"393","Measurement","size",3652681
"394","Measurement","size",4092423
"395","Measurement","size",4066688
"396","Measurement","size",3740533
"397","Measurement","size",4010142
"398","Measurement","size",3911642
"399","Measurement","size",3858026
"400","Measurement","size",3904719
"401","Measurement","size",3995300
"402","Measurement","size",3941282
"403","Measurement","size",3759128
"404","Measurement","size",3706765
"405","Measurement","size",3875740
"406","Measurement","size",4045173
"407","Measurement","size",3882611
"408","Measurement","size",3756094
"409","Measurement","size",3869819
"410","Measurement","size",3967127
"411","Measurement","size",4675073
"412","Measurement","size",3493799
"413","Measurement","size",3872006
"414","Measurement","size",2846614
"415","Measurement","size",2892358
"416","Measurement","size",2932380
"417","Measurement","size",2989631
"418","Measurement","size",2982833
"419","Measurement","size",3291106
"420","Measurement","size",3265321
"421","Measurement","size",3187736
"422","Measurement","size",3296967
"423","Measurement","size",3381868
"424","Measurement","size",3359087
"425","Measurement","size",3559656
"426","Measurement","size",3272930
"427","Measurement","size",3207253
"428","Measurement","size",3164386
"429","Measurement","size",3252871
"430","Measurement","size",3278068
"431","Measurement","size",3165338
"432","Measurement","size",3201603
"433","Measurement","size",3554773
"434","Measurement","size",3601318
"435","Measurement","size",3501168
"436","Measurement","size",3591000
"437","Measurement","size",3516428
"438","Measurement","size",3543993
"439","Measurement","size",3436567
"440","Measurement","size",3079425
"441","Measurement","size",3331695
"442","Measurement","size",3187695
"443","Measurement","size",3433355
"444","Measurement","size",3697806
"445","Measurement","size",3620341
"446","Measurement","size",3726783
"447","Measurement","size",3682632
"448","Measurement","size",3776306
"449","Measurement","size",3646748
"450","Measurement","size",3641082
"451","Measurement","size",3514548
"452","Measurement","size",3702830
"453","Measurement","size",3440408
"454","Measurement","size",3373067
"455","Measurement","size",3443240
"456","Measurement","size",3452023
"457","Measurement","size",3083536
"458","Measurement","size",3127165
"459","Measurement","size",2969729
"460","Measurement","size",3199741
"461","Measurement","size",3047306
"462","Measurement","size",3130906
"463","Measurement","size",3095400
"464","Measurement","size",3034587
"465","Measurement","size",3875214
"466","Measurement","size",2739575
"467","Measurement","size",2762825
"468","Measurement","size",2716618
"469","Measurement","size",3394198
"470","Measurement","size",3705723
"471","Measurement","size",3802082
"472","Measurement","size",2772505
"473","Measurement","size",2616599
"474","Measurement","size",2796560
"475","Measurement","size",2910586
"476","Measurement","size",2921977
"477","Measurement","size",2959962
"478","Measurement","size",2949697
"479","Measurement","size",3571705
"480","Measurement","size",3556981
"481","Measurement","size",3312080
"482","Measurement","size",3057797
"483","Measurement","size",3430187
"484","Measurement","size",3568750
"485","Measurement","size",3462643
"486","Measurement","size",3813158
"487","Measurement","size",3015228
"488","Measurement","size",3661521
"489","Measurement","size",3527727
"490","Measurement","size",3622357
"491","Measurement","size",3642620
"492","Measurement","size",3181817
"493","Measurement","size",3524592
"494","Measurement","size",3688662
"495","Measurement","size",3596253
"496","Measurement","size",3385816
"497","Measurement","size",3383285
"498","Measurement","size",3394675
