"","mean","q5","q95","N","max.tunnels","max.instances"
"V3913",1,0.99865278230304,1.00166645807304,37,"150","50"
"V4013",1,0.99865278230304,1.00166645807304,38,"150","50"
"V4118",1,0.99865278230304,1.00166645807304,39,"150","50"
"V4217",1,0.99865278230304,1.00166645807304,40,"150","50"
"V4313",1,0.99865278230304,1.00166645807304,41,"150","50"
"V4411",1,0.99865278230304,1.00166645807304,42,"150","50"
"V4510",1,0.99865278230304,1.00166645807304,43,"150","50"
"V4610",1,0.99865278230304,1.00166645807304,44,"150","50"
"V4710",1,0.99865278230304,1.00166645807304,45,"150","50"
"V4810",1,0.99865278230304,1.00166645807304,46,"150","50"
"V4910",1,0.99865278230304,1.00166645807304,47,"150","50"
"V5010",1,0.99865278230304,1.00166645807304,48,"150","50"
"V5115",1,0.99865278230304,1.00166645807304,49,"150","50"
"V5214",1,0.99865278230304,1.00166645807304,50,"150","50"
